timestamp,source,log_message,target_label
2025-07-24 13:28:10,AnalyticsEngine,nova.compute.resource_tracker [req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -] Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB used_ram=512MB phys_disk=15GB used_disk=0GB total_vcpus=16 used_vcpus=0 pci_stats=[],Resource Usage
2025-12-04 05:28:21,ThirdPartyAPI,"nova.osapi_compute.wsgi.server [req-31b99b97-cf99-4845-9481-b8b3719a11e4 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 211 time: 0.0940671",HTTP Status
2025-09-21 00:28:20,ModernHR,"nova.osapi_compute.wsgi.server [req-ac940fc4-e12a-4d3d-b262-e8ae3afad120 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" HTTP status code -  200 len: 1874 time: 0.2029028",HTTP Status
2/17/2025 7:15,ThirdPartyAPI,Security alert: suspicious activity on server 1,Security Alert
2025-03-21 03:13:05,ThirdPartyAPI,"nova.osapi_compute.wsgi.server [req-412cbd21-a789-4318-8f25-acea4ff050d5 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Return code: 200 len: 1893 time: 0.2608390",HTTP Status
2025-05-07 12:07:00,ModernHR,Vital system component is down: component ID Component83,Critical Error
2025-01-17 04:52:25,ThirdPartyAPI,"nova.compute.claims [req-d6986b54-3735-4a42-9074-0ba7d9717de9 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: af5f7392-f7d4-4298-b647-c98924c64aa1] vcpu limit not specified, defaulting to unlimited",Resource Usage
2025-03-03 16:50:00,ThirdPartyAPI,Identified a possible unauthorized data access attempt,Security Alert
11/18/2025 11:03,ModernCRM,Potential security breach detected on server 27,Security Alert
2025-09-28 12:31:38,ModernHR,"nova.osapi_compute.wsgi.server [req-139b619d-f2c8-4877-9a0e-27e33f8dd917 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Status code -  200 len: 1910 time: 0.2617211",HTTP Status
2025-08-29 02:59:21,ThirdPartyAPI,"nova.osapi_compute.wsgi.server [req-caad057d-79a5-41b4-a223-4c1a0d757007 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.4240189",HTTP Status
2025-01-14 21:44:55,BillingSystem,"nova.osapi_compute.wsgi.server [req-e28227ec-c953-412d-bfea-e9d1ee4387d0 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.3168991",HTTP Status
2025-02-17 22:47:41,BillingSystem,"nova.osapi_compute.wsgi.server [req-ee142be0-90ed-45f1-a82c-1f2097469a7c 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" HTTP status code -  200 len: 1893 time: 0.2649550",HTTP Status
2025-05-06 04:14:31,ThirdPartyAPI,"nova.osapi_compute.wsgi.server [req-1fc1761c-fded-443a-814a-e48c5f5d3567 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/17288ea8-cbf4-4f0e-94fe-853fd2735f29 HTTP/1.1"" Return code: 200 len: 1708 time: 0.1789858",HTTP Status
2025-01-26 10:25:33,ThirdPartyAPI,"nova.compute.resource_tracker [req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -] Total usable vcpus: 16, total allocated vcpus: 0",Resource Usage
2025-10-09 18:21:00,AnalyticsEngine,Server 22 was restarted unexpectedly while data was being transferred,Error
2025-06-03 04:54:30,ModernCRM,"nova.osapi_compute.wsgi.server [req-623d521c-5e95-47e2-81e4-d6905cb6d4ad 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1910 time: 0.2556899",HTTP Status
11/27/2025 4:37,BillingSystem,Security warning: unusual network activity on server 42,Security Alert
2025-03-23 06:55:16,AnalyticsEngine,"nova.osapi_compute.wsgi.server [req-1375293f-4b18-49f6-a38e-2bad37034b98 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" HTTP status code -  200 len: 1893 time: 0.2700448",HTTP Status
2/13/2025 3:19,ModernHR,API access request from user 2665 was rejected due to invalid credentials,Security Alert
2025-04-08 12:23:26,ThirdPartyAPI,"nova.osapi_compute.wsgi.server [req-0b851395-2895-44b9-8265-a27d0bb52910 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -] 10.11.10.1 ""POST /v2/e9746973ac574c6b8a9e8857f56a7608/os-server-external-events HTTP/1.1"" HTTP status code -  404 len: 296 time: 0.0793190",HTTP Status
2025-03-22 11:46:40,ThirdPartyAPI,"nova.metadata.wsgi.server [req-129bcb0b-f78e-42bf-8553-a34ff5884e77 - - - - -] 10.11.21.128,10.11.10.1 ""GET /openstack/2013-10-17/vendor_data.json HTTP/1.1"" Return code: 200 len: 124 time: 0.2283430",HTTP Status
2025-08-27 01:20:53,BillingSystem,"nova.osapi_compute.wsgi.server [req-cf54ca47-9d41-4346-80df-3b12a85567a4 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Status code -  200 len: 1893 time: 0.2689090",HTTP Status
2025-09-17 09:04:54,BillingSystem,"nova.osapi_compute.wsgi.server [req-ccf53bd0-3d1f-4951-858c-c5b0416e7ccf 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" HTTP status code -  200 len: 1893 time: 0.2638359",HTTP Status
10/26/2025 7:10,ThirdPartyAPI,Multiple login failures were detected for user 5304,Security Alert
2025-03-11 19:49:19,ModernHR,"nova.osapi_compute.wsgi.server [req-7bf56606-1c53-49cb-9d8d-e6afa1920cc1 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Return code: 200 len: 1893 time: 0.2449391",HTTP Status
2025-09-28 13:24:15,ModernHR,"nova.osapi_compute.wsgi.server [req-b7a3a805-eee2-4539-b412-18d9d9b22c0f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" HTTP status code -  200 len: 1893 time: 0.2643571",HTTP Status
2025-10-23 23:37:39,ModernHR,"nova.metadata.wsgi.server [req-258a0b43-37d6-4f22-98b8-e7863a77ef43 - - - - -] 10.11.21.127,10.11.10.1 ""GET /openstack/2012-08-10/meta_data.json HTTP/1.1"" Return code: 200 len: 264 time: 0.2254272",HTTP Status
2025-01-09 19:25:51,ModernHR,"nova.metadata.wsgi.server [-] 10.11.21.130,10.11.10.1 ""GET /openstack/2013-10-17/vendor_data.json HTTP/1.1"" status: 200 len: 124 time: 0.0006940",HTTP Status
2025-09-04 08:41:00,ModernHR,Input to module X was not in the expected format,Error
11/23/2025 3:32,ModernCRM,System component is not functioning: component ID Component23,Critical Error
4/28/2025 15:13,AnalyticsEngine,Email delivery problem affected system,Critical Error
2025-09-11 08:50:00,BillingSystem,Server 45 experienced an unanticipated restart during data reconciliation,Error
2025-07-06 03:15:38,ModernCRM,"nova.compute.claims [req-d82fab16-60f8-4c9f-bde8-f362f57bdd40 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] Total disk: 15 GB, used: 0.00 GB",Resource Usage
2025-09-03 21:16:00,ModernHR,Email service faced a delivery obstacle,Error
5/22/2025 18:22,ModernHR,Failure of critical system component: component ID Component54,Critical Error
2025-06-18 12:40:58,BillingSystem,"nova.osapi_compute.wsgi.server [req-36edee2a-9189-477f-be64-1ff36bf2933b 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1893 time: 0.2571361",HTTP Status
2025-07-21 12:39:25,ThirdPartyAPI,"nova.osapi_compute.wsgi.server [req-82610fd9-87cb-4433-a9d1-73a9f1bba99b 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Return code: 200 len: 1893 time: 0.2669392",HTTP Status
7/24/2025 3:57,ModernCRM,Invalid credentials used for account Account2885 login,Security Alert
2025-12-25 14:55:54,ModernHR,"nova.osapi_compute.wsgi.server [req-9f9bea16-b6b9-45e6-8fd7-83cb41c5db6d 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2717772",HTTP Status
5/18/2025 12:36,ModernCRM,Several login attempts by user 8694 were unsuccessful,Security Alert
2025-03-15 19:51:01,ModernCRM,"nova.osapi_compute.wsgi.server [req-32d71807-a737-4853-b385-bed9ed2bfb49 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1893 time: 0.2557549",HTTP Status
12/22/2025 10:24,ModernCRM,Server 48 went down unexpectedly while data was being synced,Error
11/17/2025 3:49,ModernCRM,Multiple login failures occurred on user 7102 account,Security Alert
2025-08-12 19:57:05,AnalyticsEngine,"nova.compute.claims [req-1162e278-3bf2-4b32-93b5-9c7ec218365e 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] Total memory: 64172 MB, used: 512.00 MB",Resource Usage
2025-11-13 04:26:29,ModernCRM,"nova.osapi_compute.wsgi.server [req-ae221290-3f43-4590-a89a-386bf9616794 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Return code: 200 len: 1893 time: 0.2508280",HTTP Status
2025-01-16 14:15:50,BillingSystem,"nova.metadata.wsgi.server [-] 10.11.21.136,10.11.10.1 ""GET /latest/meta-data/block-device-mapping/ami HTTP/1.1"" RCODE  200 len: 119 time: 0.0009940",HTTP Status
2025-04-25 03:54:23,ModernHR,"nova.metadata.wsgi.server [req-91801364-8068-4e06-88b0-2075c365d41a - - - - -] 10.11.21.136,10.11.10.1 ""GET /latest/meta-data/block-device-mapping/ HTTP/1.1"" Return code: 200 len: 124 time: 0.2300491",HTTP Status
2025-09-30 01:54:47,BillingSystem,"nova.osapi_compute.wsgi.server [req-969a61db-496a-4350-8b5b-ff1bc11eb114 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Status code -  200 len: 1583 time: 0.1885760",HTTP Status
2025-09-01 19:29:00,ThirdPartyAPI,"nova.osapi_compute.wsgi.server [req-52403199-280b-4272-82f8-8de3f18c3c47 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Status code -  200 len: 1893 time: 0.2608440",HTTP Status
2025-11-05 07:56:00,AnalyticsEngine,Attempt to access account Account3142 was not authorized,Security Alert
2025-03-01 11:16:07,ThirdPartyAPI,"nova.osapi_compute.wsgi.server [req-a70bb1f3-4825-4f34-a58f-d94ba87be696 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Return code: 200 len: 1893 time: 0.2621419",HTTP Status
2025-05-25 12:11:09,ThirdPartyAPI,"nova.compute.claims [req-4b4dd551-26d8-48e2-bd52-91793d2157bc 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: a015cf14-84bb-4156-a48d-7c4824ac7a9d] Total memory: 64172 MB, used: 512.00 MB",Resource Usage
2025-03-06 14:18:00,ModernHR,Multiple failed disks in RAID system reported,Critical Error
2025-10-23 23:46:16,BillingSystem,"nova.osapi_compute.wsgi.server [req-33e71032-1e09-4ea2-9571-c1c1f705552d 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1575 time: 0.1996739",HTTP Status
6/22/2025 0:22,ThirdPartyAPI,System component malfunction: component ID Component79,Critical Error
2025-03-15 03:03:08,ModernHR,"nova.compute.claims [req-d38f479d-9bb9-4276-9688-52607e8fd350 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: 95960536-049b-41f6-9049-05fc479b6a7c] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",Resource Usage
2025-03-03 08:02:39,ModernCRM,"nova.osapi_compute.wsgi.server [req-88f886f0-8d8a-4a1c-9a81-bd954933df8f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2616799",HTTP Status
1/15/2025 6:34,AnalyticsEngine,Server 24 experienced an unplanned restart during data replication,Error
11/13/2025 13:20,BillingSystem,Input format mismatch occurred in module X,Error
2025-02-03 09:21:00,ModernCRM,Email system had a difficulty sending messages,Error
2025-03-02 10:40:16,ModernHR,"nova.osapi_compute.wsgi.server [req-d473bea3-588a-441a-8b2a-a137806f8786 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""DELETE /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/96abccce-8d1f-4e07-b6d1-4b2ab87e23b4 HTTP/1.1"" RCODE  204 len: 203 time: 0.2604880",HTTP Status
2025-06-22 03:40:07,ModernHR,"nova.osapi_compute.wsgi.server [req-7e26e9a0-f683-46fb-a738-a31eb8cb0765 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1893 time: 0.2576380",HTTP Status
2025-10-21 09:09:12,ModernCRM,"nova.osapi_compute.wsgi.server [req-77b6a0fd-dcab-47dd-8465-13cbe5434d40 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" HTTP status code -  200 len: 1893 time: 0.2681870",HTTP Status
11/13/2025 16:56,ThirdPartyAPI,Shard 20 synchronization task failed,Error
1/30/2025 10:16,ModernHR,Critical system module failure: module ID Component29,Critical Error
2025-05-16 06:05:59,ModernCRM,"nova.osapi_compute.wsgi.server [req-68e17e36-b9b8-4b5d-9096-6bd81ce33bbc 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1893 time: 0.2648020",HTTP Status
6/15/2025 5:10,BillingSystem,API access request from user 8502 was rejected due to invalid credentials,Security Alert
2025-05-03 21:50:00,ThirdPartyAPI,User 1884 experienced repeated login failures,Security Alert
2025-01-01 08:33:00,ThirdPartyAPI,Account Account7332 experienced unauthorized login attempt,Security Alert
5/20/2025 20:46,ModernCRM,Operating system failed to boot properly,Critical Error
5/16/2025 9:36,AnalyticsEngine,Unauthorized user 3051 tried to access restricted API,Security Alert
2025-03-23 10:37:27,AnalyticsEngine,"nova.metadata.wsgi.server [req-49f8125c-481f-4d59-b390-607c59629638 - - - - -] 10.11.21.134,10.11.10.1 ""GET /openstack/2013-10-17/user_data HTTP/1.1"" HTTP status code -  404 len: 176 time: 0.2255361",HTTP Status
2025-09-13 09:38:26,ModernCRM,"nova.osapi_compute.wsgi.server [req-12db2bbc-6755-4401-99d8-450e84703abd 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Return code: 200 len: 1893 time: 0.2685480",HTTP Status
2025-01-10 12:27:00,AnalyticsEngine,Email provider faced a delivery challenge,Error
2025-12-02 09:54:41,AnalyticsEngine,"nova.osapi_compute.wsgi.server [req-9120b63e-fdd9-4dc6-9ccd-7888f3d38fcd 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1893 time: 0.2586780",HTTP Status
2025-12-26 09:51:46,ModernHR,"nova.osapi_compute.wsgi.server [req-a40c78d6-9f83-4945-86c5-11d623eb41b7 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" HTTP status code -  200 len: 1893 time: 0.2620499",HTTP Status
3/30/2025 0:37,ModernCRM,Failed to login to restricted account Account6973,Security Alert
12/29/2025 20:33,ModernCRM,Unauthorised access attempt from 192.168.99.79 detected,Security Alert
10/15/2025 6:10,BillingSystem,Account Account6722 access denied due to login failure,Security Alert
2025-09-17 04:01:57,ModernCRM,"nova.metadata.wsgi.server [req-5fc6b2b8-6fb2-4c4d-8b8a-310372462c25 - - - - -] 10.11.21.142,10.11.10.1 ""GET /openstack/2013-10-17/vendor_data.json HTTP/1.1"" RCODE  200 len: 124 time: 0.2241619",HTTP Status
2025-02-11 07:15:00,ThirdPartyAPI,Vital system component is down: component ID Component75,Critical Error
7/28/2025 14:26,ModernHR,Kernel malfunction caused boot process to terminate,Critical Error
2025-05-10 15:32:42,ModernCRM,"nova.osapi_compute.wsgi.server [req-2897f349-4f7a-48c5-b3b4-7df386f0436a 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Status code -  200 len: 1893 time: 0.2607100",HTTP Status
2025-07-06 01:22:00,AnalyticsEngine,"Server 11 experienced potential security incident, review required",Security Alert
2025-02-27 16:42:40,ModernCRM,"nova.osapi_compute.wsgi.server [req-97fcea79-42f7-4241-9b9e-63fe193c1929 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""POST /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers HTTP/1.1"" HTTP status code -  202 len: 733 time: 0.5442920",HTTP Status
2025-05-17 01:17:19,ModernHR,"nova.osapi_compute.wsgi.server [req-010217f3-bf1a-48b7-9077-bd3cf46faf82 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1893 time: 0.2640989",HTTP Status
